frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate
"125","Jul  2, 2020 22:23:58.007266000 AEST","-57","15","144.444"
"126","Jul  2, 2020 22:23:58.027349000 AEST","-58","15","144.444"
"127","Jul  2, 2020 22:23:58.038042000 AEST","-57","15","144.444"
"128","Jul  2, 2020 22:23:58.038372000 AEST","-57","15","144.444"
"129","Jul  2, 2020 22:23:58.364749000 AEST","-56","15","144.444"
"130","Jul  2, 2020 22:23:58.434676000 AEST","-55","15","144.444"
"131","Jul  2, 2020 22:23:58.577372000 AEST","-55","15","144.444"
"132","Jul  2, 2020 22:23:58.578312000 AEST","-55","15","144.444"
"133","Jul  2, 2020 22:23:58.581522000 AEST","-55","15","144.444"
"134","Jul  2, 2020 22:23:59.434823000 AEST","-56","15","144.444"
"135","Jul  2, 2020 22:24:00.435303000 AEST","-56","15","144.444"
"136","Jul  2, 2020 22:24:01.438644000 AEST","-56","15","144.444"
"137","Jul  2, 2020 22:24:02.440237000 AEST","-56","15","144.444"
"138","Jul  2, 2020 22:24:03.445883000 AEST","-56","15","144.444"
"139","Jul  2, 2020 22:24:04.239346000 AEST","-55","15","144.444"
"140","Jul  2, 2020 22:24:04.445294000 AEST","-55","15","144.444"
"141","Jul  2, 2020 22:24:05.447428000 AEST","-58","15","144.444"
"142","Jul  2, 2020 22:24:05.447643000 AEST","-59","15","144.444"
"143","Jul  2, 2020 22:24:06.107331000 AEST","-57","15","144.444"
"144","Jul  2, 2020 22:24:06.237418000 AEST","-57","15","144.444"
"145","Jul  2, 2020 22:24:06.450898000 AEST","-59","15","144.444"
"146","Jul  2, 2020 22:24:06.454004000 AEST","-59","15","144.444"
"147","Jul  2, 2020 22:24:07.453069000 AEST","-58","15","144.444"
"148","Jul  2, 2020 22:24:08.454212000 AEST","-58","15","144.444"
"149","Jul  2, 2020 22:24:08.455862000 AEST","-57","15","144.444"
"150","Jul  2, 2020 22:24:09.459461000 AEST","-59","15","144.444"
"151","Jul  2, 2020 22:24:10.460048000 AEST","-59","15","144.444"
"152","Jul  2, 2020 22:24:10.647254000 AEST","-59","15","144.444"
"153","Jul  2, 2020 22:24:11.027277000 AEST","-58","15","144.444"
"154","Jul  2, 2020 22:24:11.462592000 AEST","-57","15","144.444"
"155","Jul  2, 2020 22:24:12.466831000 AEST","-59","15","144.444"
"156","Jul  2, 2020 22:24:13.467281000 AEST","-59","15","144.444"
"157","Jul  2, 2020 22:24:14.468520000 AEST","-62","15","144.444"
"158","Jul  2, 2020 22:24:14.729313000 AEST","-62","15","144.444"
"159","Jul  2, 2020 22:24:14.729582000 AEST","-62","15","144.444"
"160","Jul  2, 2020 22:24:15.387389000 AEST","-60","15","144.444"
"161","Jul  2, 2020 22:24:15.387857000 AEST","-60","15","144.444"
"162","Jul  2, 2020 22:24:15.469316000 AEST","-60","15","144.444"
"163","Jul  2, 2020 22:24:16.387339000 AEST","-59","15","144.444"
"164","Jul  2, 2020 22:24:16.471968000 AEST","-59","15","144.444"
"165","Jul  2, 2020 22:24:16.527429000 AEST","-59","15","144.444"
"166","Jul  2, 2020 22:24:16.547222000 AEST","-58","15","144.444"
"167","Jul  2, 2020 22:24:17.478163000 AEST","-58","15","144.444"
"168","Jul  2, 2020 22:24:17.497437000 AEST","-58","15","144.444"
"169","Jul  2, 2020 22:24:17.499105000 AEST","-58","15","144.444"
"170","Jul  2, 2020 22:24:17.687422000 AEST","-59","15","144.444"
"171","Jul  2, 2020 22:24:17.687628000 AEST","-59","15","144.444"
"172","Jul  2, 2020 22:24:17.687960000 AEST","-59","15","144.444"
"173","Jul  2, 2020 22:24:17.688136000 AEST","-59","15","144.444"
"174","Jul  2, 2020 22:24:17.696257000 AEST","-59","15","144.444"
"175","Jul  2, 2020 22:24:18.481235000 AEST","-57","15","144.444"
"176","Jul  2, 2020 22:24:18.746874000 AEST","-58","15","144.444"
"177","Jul  2, 2020 22:24:18.747087000 AEST","-58","15","144.444"
"178","Jul  2, 2020 22:24:18.827379000 AEST","-58","15","144.444"
"179","Jul  2, 2020 22:24:19.254448000 AEST","-58","15","144.444"
