frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate,wlan_radio.11n.greenfield
"53","Jul  2, 2020 22:18:17.678513000 AEST","-33","15","144.444","0"
"54","Jul  2, 2020 22:18:17.876531000 AEST","-30","15","144.444","0"
"55","Jul  2, 2020 22:18:18.140871000 AEST","-33","15","144.444","0"
"56","Jul  2, 2020 22:18:18.326299000 AEST","-33","15","144.444","0"
"57","Jul  2, 2020 22:18:18.500208000 AEST","-35","15","144.444","0"
"58","Jul  2, 2020 22:18:18.500434000 AEST","-35","15","144.444","0"
"59","Jul  2, 2020 22:18:19.143715000 AEST","-35","15","144.444","0"
"60","Jul  2, 2020 22:18:19.477029000 AEST","-33","15","144.444","0"
"61","Jul  2, 2020 22:18:19.477221000 AEST","-33","15","144.444","0"
"62","Jul  2, 2020 22:18:19.477446000 AEST","-30","13","115.556","0"
"63","Jul  2, 2020 22:18:19.781511000 AEST","-35","15","144.444","0"
"64","Jul  2, 2020 22:18:20.091422000 AEST","-30","15","144.444","0"
"65","Jul  2, 2020 22:18:20.147447000 AEST","-29","15","144.444","0"
"66","Jul  2, 2020 22:18:20.695431000 AEST","-32","15","144.444","0"
"67","Jul  2, 2020 22:18:20.712521000 AEST","-32","15","144.444","0"
"68","Jul  2, 2020 22:18:21.150221000 AEST","-34","15","144.444","0"
"69","Jul  2, 2020 22:18:21.825598000 AEST","-38","15","144.444","0"
"70","Jul  2, 2020 22:18:22.056578000 AEST","-41","15","144.444","0"
"71","Jul  2, 2020 22:18:22.081591000 AEST","-42","15","144.444","0"
"72","Jul  2, 2020 22:18:22.152088000 AEST","-40","15","144.444","0"
"73","Jul  2, 2020 22:18:22.698711000 AEST","-39","15","144.444","0"
"74","Jul  2, 2020 22:18:23.154274000 AEST","-39","15","144.444","0"
"75","Jul  2, 2020 22:18:23.608544000 AEST","-44","15","144.444","0"
"76","Jul  2, 2020 22:18:23.794565000 AEST","-41","15","144.444","0"
"77","Jul  2, 2020 22:18:23.965410000 AEST","-42","15","144.444","0"
"78","Jul  2, 2020 22:18:24.104522000 AEST","-43","15","144.444","0"
"79","Jul  2, 2020 22:18:24.155583000 AEST","-41","15","144.444","0"
"80","Jul  2, 2020 22:18:24.406390000 AEST","-41","15","144.444","0"
"81","Jul  2, 2020 22:18:25.157201000 AEST","-40","15","144.444","0"
"82","Jul  2, 2020 22:18:25.611715000 AEST","-39","15","144.444","0"
"83","Jul  2, 2020 22:18:25.611968000 AEST","-39","15","144.444","0"
"84","Jul  2, 2020 22:18:25.613605000 AEST","-39","15","144.444","0"
"85","Jul  2, 2020 22:18:26.162402000 AEST","-40","15","144.444","0"
"86","Jul  2, 2020 22:18:26.215529000 AEST","-40","15","144.444","0"
"87","Jul  2, 2020 22:18:26.377144000 AEST","-43","15","144.444","0"
"88","Jul  2, 2020 22:18:26.557467000 AEST","-44","15","144.444","0"
"89","Jul  2, 2020 22:18:26.934517000 AEST","-42","15","144.444","0"
"90","Jul  2, 2020 22:18:27.167208000 AEST","-42","15","144.444","0"
"91","Jul  2, 2020 22:18:27.216424000 AEST","-42","15","144.444","0"
"92","Jul  2, 2020 22:18:27.609897000 AEST","-41","15","144.444","0"
"93","Jul  2, 2020 22:18:27.762552000 AEST","-40","15","144.444","0"
"94","Jul  2, 2020 22:18:27.856452000 AEST","-39","15","144.444","0"
"95","Jul  2, 2020 22:18:27.973671000 AEST","-40","15","144.444","0"
"96","Jul  2, 2020 22:18:28.161385000 AEST","-40","15","144.444","0"
"97","Jul  2, 2020 22:18:28.168813000 AEST","-40","15","144.444","0"
"98","Jul  2, 2020 22:18:28.866536000 AEST","-47","15","144.444","0"
"99","Jul  2, 2020 22:18:29.173964000 AEST","-46","15","144.444","0"
"100","Jul  2, 2020 22:18:30.179141000 AEST","-43","15","144.444","0"
"101","Jul  2, 2020 22:18:31.184373000 AEST","-44","15","144.444","0"
"102","Jul  2, 2020 22:18:32.188669000 AEST","-48","15","144.444","0"
"103","Jul  2, 2020 22:18:33.193023000 AEST","-50","15","144.444","0"
"104","Jul  2, 2020 22:18:33.549148000 AEST","-43","15","144.444","0"
"105","Jul  2, 2020 22:18:34.196782000 AEST","-47","15","144.444","0"
"106","Jul  2, 2020 22:18:35.199997000 AEST","-50","15","144.444","0"
"107","Jul  2, 2020 22:18:36.201979000 AEST","-50","15","144.444","0"
"108","Jul  2, 2020 22:18:37.204738000 AEST","-51","15","144.444","0"
"109","Jul  2, 2020 22:18:38.209569000 AEST","-50","15","144.444","0"
"110","Jul  2, 2020 22:18:39.212375000 AEST","-51","15","144.444","0"
"111","Jul  2, 2020 22:18:40.215551000 AEST","-52","15","144.444","0"
"112","Jul  2, 2020 22:18:41.219103000 AEST","-47","15","144.444","0"
"113","Jul  2, 2020 22:18:41.843785000 AEST","-50","15","144.444","0"
"114","Jul  2, 2020 22:18:41.844113000 AEST",,"15","144.444","1"
"115","Jul  2, 2020 22:18:41.844119000 AEST","-50","15","144.444","1"
"116","Jul  2, 2020 22:18:41.879942000 AEST","-50","15","144.444","0"
"117","Jul  2, 2020 22:18:42.221354000 AEST","-52","15","144.444","0"
"118","Jul  2, 2020 22:18:42.637802000 AEST","-54","15","144.444","0"
"119","Jul  2, 2020 22:18:42.840548000 AEST","-54","15","144.444","0"
"120","Jul  2, 2020 22:18:43.223116000 AEST","-53","15","144.444","0"
"121","Jul  2, 2020 22:18:43.266537000 AEST","-52","15","144.444","0"
"122","Jul  2, 2020 22:18:43.938625000 AEST","-52","15","144.444","0"
"123","Jul  2, 2020 22:18:44.226083000 AEST","-53","15","144.444","0"
"124","Jul  2, 2020 22:18:45.120512000 AEST","-53","15","144.444","0"
"125","Jul  2, 2020 22:18:45.120879000 AEST","-53","15","144.444","0"
"126","Jul  2, 2020 22:18:45.229356000 AEST","-57","15","144.444","0"
"127","Jul  2, 2020 22:18:45.529895000 AEST","-57","15","144.444","0"
"128","Jul  2, 2020 22:18:45.530248000 AEST",,"15","144.444","1"
"129","Jul  2, 2020 22:18:45.530255000 AEST","-57","15","144.444","1"
"130","Jul  2, 2020 22:18:45.939780000 AEST","-54","15","144.444","0"
"131","Jul  2, 2020 22:18:46.233233000 AEST","-57","15","144.444","0"
"132","Jul  2, 2020 22:18:46.296468000 AEST","-57","15","144.444","0"
"133","Jul  2, 2020 22:18:46.308481000 AEST","-57","15","144.444","0"
"134","Jul  2, 2020 22:18:47.145532000 AEST","-57","15","144.444","0"
"135","Jul  2, 2020 22:18:47.233964000 AEST","-57","15","144.444","0"
"136","Jul  2, 2020 22:18:47.625538000 AEST","-57","15","144.444","0"
"137","Jul  2, 2020 22:18:48.238596000 AEST","-52","15","144.444","0"
"138","Jul  2, 2020 22:18:48.466585000 AEST","-55","15","144.444","0"
"139","Jul  2, 2020 22:18:49.243197000 AEST","-54","15","144.444","0"
"140","Jul  2, 2020 22:18:49.860580000 AEST","-55","15","144.444","0"
"141","Jul  2, 2020 22:18:50.240336000 AEST","-60","15","144.444","0"
"142","Jul  2, 2020 22:18:50.247221000 AEST","-60","15","144.444","0"
"143","Jul  2, 2020 22:18:51.077802000 AEST","-50","13","115.556","0"
"144","Jul  2, 2020 22:18:51.198634000 AEST","-53","15","144.444","0"
"145","Jul  2, 2020 22:18:51.250542000 AEST","-53","15","144.444","0"
"146","Jul  2, 2020 22:18:52.252223000 AEST","-59","15","144.444","0"
"147","Jul  2, 2020 22:18:52.253582000 AEST","-59","15","144.444","0"
"148","Jul  2, 2020 22:18:52.698090000 AEST","-60","15","144.444","0"
"149","Jul  2, 2020 22:18:53.068975000 AEST","-57","13","115.556","0"
"150","Jul  2, 2020 22:18:53.256894000 AEST","-63","15","144.444","0"
"151","Jul  2, 2020 22:18:53.489557000 AEST","-57","15","144.444","0"
"152","Jul  2, 2020 22:18:53.489749000 AEST","-58","15","144.444","0"
"153","Jul  2, 2020 22:18:53.884009000 AEST","-57","15","144.444","0"
"154","Jul  2, 2020 22:18:53.884292000 AEST","-56","15","144.444","0"
"155","Jul  2, 2020 22:18:53.884737000 AEST","-57","15","144.444","0"
"156","Jul  2, 2020 22:18:54.262821000 AEST","-60","15","144.444","0"
"157","Jul  2, 2020 22:18:55.021565000 AEST","-57","15","144.444","0"
"158","Jul  2, 2020 22:18:55.262215000 AEST","-56","15","144.444","0"
"159","Jul  2, 2020 22:18:56.267441000 AEST","-57","15","144.444","0"
"160","Jul  2, 2020 22:18:56.267647000 AEST","-57","15","144.444","0"
"161","Jul  2, 2020 22:18:57.075565000 AEST","-62","15","144.444","0"
"162","Jul  2, 2020 22:18:57.075788000 AEST","-62","15","144.444","0"
"163","Jul  2, 2020 22:18:57.267831000 AEST","-62","15","144.444","0"
"164","Jul  2, 2020 22:18:58.271857000 AEST","-64","15","144.444","0"
"165","Jul  2, 2020 22:18:58.397006000 AEST","-63","15","144.444","0"
"166","Jul  2, 2020 22:18:58.739719000 AEST","-62","15","144.444","0"
"167","Jul  2, 2020 22:18:58.926717000 AEST","-60","15","144.444","0"
"168","Jul  2, 2020 22:18:58.926982000 AEST","-57","13","115.556","0"
"169","Jul  2, 2020 22:18:58.934796000 AEST","-60","15","144.444","0"
"170","Jul  2, 2020 22:18:58.935500000 AEST","-60","14","130","0"
"171","Jul  2, 2020 22:18:58.944042000 AEST","-60","14","130","0"
"172","Jul  2, 2020 22:18:58.965648000 AEST","-60","14","130","0"
"173","Jul  2, 2020 22:18:58.965924000 AEST","-57","12","86.6667","0"
"174","Jul  2, 2020 22:18:58.972010000 AEST","-57","12","86.6667","0"
