"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1069","14.884310465","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-83dBm","Beacon frame, SN=2186, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1113","15.908307100","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-84dBm","Beacon frame, SN=2196, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1142","16.522680221","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-85dBm","Beacon frame, SN=2203, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1557","23.485912874","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-85dBm","Beacon frame, SN=2266, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1822","26.865364291","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-75dBm","Beacon frame, SN=2302, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2031","29.015299191","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-82dBm","Beacon frame, SN=2326, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2074","29.424934251","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-78dBm","Beacon frame, SN=2330, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2078","29.527338691","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-81dBm","Beacon frame, SN=2331, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2124","30.039458786","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-76dBm","Beacon frame, SN=2336, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2132","30.141886695","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2337, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2136","30.244096255","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-79dBm","Beacon frame, SN=2338, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2143","30.448985040","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-80dBm","Beacon frame, SN=2340, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2153","30.756129162","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2343, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2157","30.858579706","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2344, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2161","30.960857444","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-76dBm","Beacon frame, SN=2345, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2166","31.063447190","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-74dBm","Beacon frame, SN=2346, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2174","31.165848856","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-75dBm","Beacon frame, SN=2347, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2178","31.268065431","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-76dBm","Beacon frame, SN=2348, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2182","31.370664206","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2349, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2187","31.473060517","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-79dBm","Beacon frame, SN=2350, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2191","31.575264127","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-78dBm","Beacon frame, SN=2351, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2197","31.677873855","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-78dBm","Beacon frame, SN=2352, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2201","31.780095528","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-78dBm","Beacon frame, SN=2353, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2205","31.882614287","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2354, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2218","31.985060418","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-80dBm","Beacon frame, SN=2355, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2227","32.088251535","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-83dBm","Beacon frame, SN=2356, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2235","32.189841319","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-83dBm","Beacon frame, SN=2357, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2244","32.394463614","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-82dBm","Beacon frame, SN=2359, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2249","32.497069729","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-82dBm","Beacon frame, SN=2360, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2253","32.599253894","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2361, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2282","32.804044751","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-74dBm","Beacon frame, SN=2365, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2286","32.906459440","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-76dBm","Beacon frame, SN=2366, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2293","33.008803340","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2367, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2297","33.111243416","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-78dBm","Beacon frame, SN=2368, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2305","33.213679828","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-78dBm","Beacon frame, SN=2369, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2309","33.316066002","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-80dBm","Beacon frame, SN=2370, FN=0, Flags=........C, BI=100, SSID=z5206677"
